term,Jamo,alphabet
으라며,ㅇㅡㄹㅏㅁㅕ,DMFKAU
으라우,ㅇㅡㄹㅏㅇㅜ,DMFKDN
으라이,ㅇㅡㄹㅏㅇㅣ,DMFKDL
으려고,ㅇㅡㄹㅕㄱㅗ,DMFURH
으려나,ㅇㅡㄹㅕㄴㅏ,DMFUSK
으려니,ㅇㅡㄹㅕㄴㅣ,DMFUSL
으려다,ㅇㅡㄹㅕㄷㅏ,DMFUEK
으려마,ㅇㅡㄹㅕㅁㅏ,DMFUAK
으리니,ㅇㅡㄹㅣㄴㅣ,DMFLSL
으리다,ㅇㅡㄹㅣㄷㅏ,DMFLEK
으리라,ㅇㅡㄹㅣㄹㅏ,DMFLFK
으리며,ㅇㅡㄹㅣㅁㅕ,DMFLAU
으리야,ㅇㅡㄹㅣㅇㅑ,DMFLDI
으리오,ㅇㅡㄹㅣㅇㅗ,DMFLDH
으멘,ㅇㅡㅁㅓㅣㄴ,DMAJLS
으며셔,ㅇㅡㅁㅕㅅㅕ,DMAUTU
으므로,ㅇㅡㅁㅡㄹㅗ,DMAMFH
으셔요,ㅇㅡㅅㅕㅇㅛ,DMTUDY
으소서,ㅇㅡㅅㅗㅅㅓ,DMTHTJ
으쇼셔,ㅇㅡㅅㅛㅅㅕ,DMTYTU
으시더,ㅇㅡㅅㅣㄷㅓ,DMTLEJ
으시라,ㅇㅡㅅㅣㄹㅏ,DMTLFK
으이소,ㅇㅡㅇㅣㅅㅗ,DMDLTH
은감,ㅇㅡㄴㄱㅏㅁ,DMSRKA
은걸,ㅇㅡㄴㄱㅓㄹ,DMSRJF
은대,ㅇㅡㄴㄷㅏㅣ,DMSEKL
은데,ㅇㅡㄴㄷㅓㅣ,DMSEJL
은들,ㅇㅡㄴㄷㅡㄹ,DMSEMF
은배,ㅇㅡㄴㅂㅏㅣ,DMSQKL
은즉,ㅇㅡㄴㅈㅡㄱ,DMSWMR
을걸,ㅇㅡㄹㄱㅓㄹ,DMFRJF
을게,ㅇㅡㄹㄱㅓㅣ,DMFRJL
을까,ㅇㅡㄹㄱㄱㅏ,DMFRRK
을꼬,ㅇㅡㄹㄱㄱㅗ,DMFRRH
을락,ㅇㅡㄹㄹㅏㄱ,DMFFKR
을래,ㅇㅡㄹㄹㅏㅣ,DMFFKL
을레,ㅇㅡㄹㄹㅓㅣ,DMFFJL
